d1,d2,d3,d4,lam
-0.40771447345118694,0.01741121353364092,-0.16962519663291556,-0.5466717038673818,711.1764176764201
-0.10289046990385303,0.03516451853039821,-0.019733372656305745,-0.8572634564064869,726.9992274968826
-0.6048105826288241,0.024645387189381418,-0.2061820247259362,-0.34652537489567786,652.9443367544077
-0.33762406291651453,0.026653967521826024,-0.0674538816883914,-0.5866834628504003,635.282726885424
-0.06968862653130492,0.022910325745144088,-0.01219039521990048,-0.8491426284738242,716.258243685193
-0.08076213992799719,0.021009057626122662,-0.03708305780634366,-0.8205954094187333,737.2508621158689
-0.32771358909968135,0.03188866539551287,-0.15503307764511542,-0.5777433181912768,737.9400487062948
-0.3233430630752988,0.027460013191019435,-0.13365661364560483,-0.6345085430596197,753.9342478187059
-0.26955039767877237,0.019491372173214335,-0.09401545845036621,-0.6424603739163218,693.9514003101871
-0.2438585602341194,0.00036382332372747114,-0.1322422924215256,-0.6590458527290328,731.4221293503206
-0.48270871558744866,0.023833873019592805,-0.19377499175736818,-0.45045599313722834,692.1704483639733
-0.4449872271255431,0.02010451790091824,-0.23704915796226644,-0.5030109796542706,785.0444601650734
-0.6437698576678195,0.0410589558279633,-0.2522247847158391,-0.2761340150835058,646.752530593568
-0.7173413672094449,0.016295081650945425,-0.31804748507481195,-0.1970163835031754,667.735450862108
-0.3444260267051064,0.023282557886648195,-0.17839745495607479,-0.5697430191360193,725.0515726358599
-0.325950484555177,0.003405936287552338,-0.18120786003748454,-0.6342555099736487,798.3635862554415
-0.810180288436551,0.021016384791026486,-0.36898608741624256,-0.10991212325754673,696.7875212599179
-0.21395069785969117,0.024681936922931386,-0.06126281324672664,-0.7398590707755616,704.2108549790722
-0.5307688326470412,0.018524152606786644,-0.22609326877085537,-0.43406981316813337,739.2169604582188
-0.2346155050312965,0.021427622375229556,-0.0984842158663663,-0.7463858602119737,772.8905887611567
-0.5190874854547134,0.007302872362895695,-0.2639001738463581,-0.39504521750639027,726.7315924002243
-0.4375040937422897,0.02449185173789201,-0.16422414795688034,-0.502466359523142,681.8598357196374
-0.7635414771551714,0.019329891112098083,-0.3753196694215503,-0.21837757769352462,773.2507095951273
-0.1313377383581195,0.01371854831856192,-0.006908208510094549,-0.8040702155209218,689.1371172990459
-0.14836286667529605,0.012132680439679237,-0.0845080128948347,-0.7411736288255995,724.9810816764813
-0.34115071621546655,0.027501597481678353,-0.14351699313505803,-0.5973600674820964,730.3353714224922
-0.31888952428970896,0.01574112029664126,-0.10906592747618864,-0.6441330981130683,711.5360806837053
-0.40622165702768825,0.027510561527859707,-0.16724436771325563,-0.5420754969485123,726.9617888544395
-0.4361498279706628,0.017460392761611095,-0.15304185342716914,-0.5086440346372268,678.3968105290154
